id,description,category,location,date,latitude,longitude
341,Garbage dumped near school,Garbage,Madhapur,2025-09-22,17.4483,78.3915
342,Overflowing dustbins near market,Garbage,Miyapur,2025-12-13,17.4969,78.3562
343,Illegal dumping of household waste,Garbage,Kukatpally,2025-11-20,17.4948,78.3996
344,Illegal dumping of household waste,Garbage,Secunderabad,2026-05-22,17.4399,78.4983
345,Garbage not collected for a week,Garbage,Miyapur,2025-07-29,17.4969,78.3562
346,Garbage not collected for a week,Garbage,Kondapur,2025-08-11,17.466,78.363
347,Garbage not collected for a week,Garbage,Kompally,2025-10-02,17.5251,78.4832
348,Waste accumulation causing foul smell,Garbage,Uppal,2025-11-25,17.4058,78.5591
349,Illegal dumping of household waste,Garbage,Dilsukhnagar,2025-12-15,17.3688,78.5247
350,Overflowing dustbins near market,Garbage,Miyapur,2025-09-29,17.4969,78.3562
351,Electric pole damaged,Electricity,Madhapur,2026-03-05,17.4483,78.3915
352,Voltage fluctuations affecting homes,Electricity,Jubilee Hills,2025-11-25,17.4316,78.4071
353,Voltage fluctuations affecting homes,Electricity,Uppal,2026-02-27,17.4058,78.5591
354,Street lights not working,Electricity,Uppal,2025-12-13,17.4058,78.5591
355,Electric pole damaged,Electricity,Kukatpally,2026-01-13,17.4948,78.3996
356,Transformer malfunction reported,Electricity,Banjara Hills,2026-01-12,17.4126,78.4482
357,Transformer malfunction reported,Electricity,Jubilee Hills,2026-04-15,17.4316,78.4071
358,Electric pole damaged,Electricity,Kukatpally,2025-12-06,17.4948,78.3996
359,Electric pole damaged,Electricity,Miyapur,2025-07-18,17.4969,78.3562
360,Voltage fluctuations affecting homes,Electricity,Miyapur,2026-03-28,17.4969,78.3562
361,Transformer malfunction reported,Electricity,Hitech City,2026-01-09,17.4435,78.3772
362,Transformer malfunction reported,Electricity,Jubilee Hills,2026-03-09,17.4316,78.4071
363,Street lights not working,Electricity,Ameerpet,2026-02-22,17.4375,78.4482
364,Voltage fluctuations affecting homes,Electricity,Uppal,2025-08-12,17.4058,78.5591
365,Electric pole damaged,Electricity,Secunderabad,2025-12-19,17.4399,78.4983
366,Street lights not working,Electricity,Madhapur,2025-09-05,17.4483,78.3915
367,Street lights not working,Electricity,Jubilee Hills,2025-11-02,17.4316,78.4071
368,Transformer malfunction reported,Electricity,Secunderabad,2026-04-10,17.4399,78.4983
369,Transformer malfunction reported,Electricity,Miyapur,2025-09-05,17.4969,78.3562
370,Transformer malfunction reported,Electricity,Uppal,2026-03-13,17.4058,78.5591
371,Street lights not working,Electricity,Kompally,2026-04-16,17.5251,78.4832
372,Electric pole damaged,Electricity,Panjagutta,2025-12-17,17.4283,78.4524
373,Electric pole damaged,Electricity,Gachibowli,2026-01-30,17.4401,78.3489
374,Electric pole damaged,Electricity,Manikonda,2026-04-24,17.4062,78.39
375,Electric pole damaged,Electricity,Manikonda,2026-02-03,17.4062,78.39
376,Transformer malfunction reported,Electricity,Hitech City,2025-12-15,17.4435,78.3772
377,Transformer malfunction reported,Electricity,Miyapur,2026-05-04,17.4969,78.3562
378,Street lights not working,Electricity,Manikonda,2025-07-30,17.4062,78.39
379,Electric pole damaged,Electricity,Gachibowli,2026-05-01,17.4401,78.3489
380,Frequent power cuts in colony,Electricity,Gachibowli,2025-08-28,17.4401,78.3489
381,Frequent power cuts in colony,Electricity,Manikonda,2025-06-09,17.4062,78.39
382,Electric pole damaged,Electricity,Madhapur,2025-06-15,17.4483,78.3915
383,Transformer malfunction reported,Electricity,Uppal,2025-06-14,17.4058,78.5591
384,Transformer malfunction reported,Electricity,Ameerpet,2026-02-21,17.4375,78.4482
385,Frequent power cuts in colony,Electricity,Kompally,2026-04-26,17.5251,78.4832
386,Electric pole damaged,Electricity,Jubilee Hills,2025-06-08,17.4316,78.4071
387,Street lights not working,Electricity,Kompally,2025-10-15,17.5251,78.4832
388,Transformer malfunction reported,Electricity,Panjagutta,2026-03-19,17.4283,78.4524
389,Voltage fluctuations affecting homes,Electricity,Kukatpally,2025-10-09,17.4948,78.3996
390,Street lights not working,Electricity,Gachibowli,2025-08-17,17.4401,78.3489
391,Transformer malfunction reported,Electricity,Dilsukhnagar,2025-06-21,17.3688,78.5247
392,Frequent power cuts in colony,Electricity,Madhapur,2025-09-11,17.4483,78.3915
393,Street lights not working,Electricity,Uppal,2025-07-14,17.4058,78.5591
394,Electric pole damaged,Electricity,Uppal,2025-09-19,17.4058,78.5591
395,Electric pole damaged,Electricity,Madhapur,2025-11-24,17.4483,78.3915
396,Electric pole damaged,Electricity,Madhapur,2026-03-19,17.4483,78.3915
397,Electric pole damaged,Electricity,Manikonda,2026-04-06,17.4062,78.39
398,Frequent power cuts in colony,Electricity,Panjagutta,2025-08-22,17.4283,78.4524
399,Transformer malfunction reported,Electricity,Uppal,2026-03-17,17.4058,78.5591
400,Electric pole damaged,Electricity,Ameerpet,2025-10-18,17.4375,78.4482
401,Transformer malfunction reported,Electricity,Madhapur,2025-10-02,17.4483,78.3915
402,Transformer malfunction reported,Electricity,Madhapur,2026-05-02,17.4483,78.3915
403,Transformer malfunction reported,Electricity,Manikonda,2026-05-30,17.4062,78.39
404,Transformer malfunction reported,Electricity,Dilsukhnagar,2025-12-05,17.3688,78.5247
405,Street lights not working,Electricity,Kondapur,2026-04-21,17.466,78.363
406,Frequent power cuts in colony,Electricity,Panjagutta,2025-07-20,17.4283,78.4524
407,Frequent power cuts in colony,Electricity,Hitech City,2025-09-29,17.4435,78.3772
408,Street lights not working,Electricity,Hitech City,2026-05-21,17.4435,78.3772
409,Electric pole damaged,Electricity,Manikonda,2026-03-25,17.4062,78.39
410,Voltage fluctuations affecting homes,Electricity,Madhapur,2025-08-28,17.4483,78.3915
411,Transformer malfunction reported,Electricity,Kompally,2025-10-13,17.5251,78.4832
412,Frequent power cuts in colony,Electricity,Hitech City,2025-12-13,17.4435,78.3772
413,Frequent power cuts in colony,Electricity,Madhapur,2025-10-18,17.4483,78.3915
414,Transformer malfunction reported,Electricity,Miyapur,2025-08-22,17.4969,78.3562
415,Street lights not working,Electricity,LB Nagar,2025-06-21,17.3457,78.552
416,Street lights not working,Electricity,Secunderabad,2025-10-07,17.4399,78.4983
417,Street lights not working,Electricity,Banjara Hills,2025-07-13,17.4126,78.4482
418,Voltage fluctuations affecting homes,Electricity,Kompally,2025-12-13,17.5251,78.4832
419,Voltage fluctuations affecting homes,Electricity,Ameerpet,2025-11-04,17.4375,78.4482
420,Street lights not working,Electricity,Kukatpally,2025-07-12,17.4948,78.3996
421,Electric pole damaged,Electricity,Jubilee Hills,2025-07-23,17.4316,78.4071
422,Electric pole damaged,Electricity,Banjara Hills,2025-09-01,17.4126,78.4482
423,Street lights not working,Electricity,Manikonda,2025-06-23,17.4062,78.39
424,Street lights not working,Electricity,Jubilee Hills,2026-01-08,17.4316,78.4071
425,Street lights not working,Electricity,Dilsukhnagar,2025-11-24,17.3688,78.5247
426,Voltage fluctuations affecting homes,Electricity,Jubilee Hills,2025-08-13,17.4316,78.4071
427,Electric pole damaged,Electricity,Jubilee Hills,2026-03-26,17.4316,78.4071
428,Street lights not working,Electricity,Secunderabad,2025-11-23,17.4399,78.4983
429,Transformer malfunction reported,Electricity,LB Nagar,2025-12-06,17.3457,78.552
430,Street lights not working,Electricity,LB Nagar,2025-09-04,17.3457,78.552
431,Traffic signal malfunctioning,Traffic,Kompally,2026-04-17,17.5251,78.4832
432,Roadside encroachment causing congestion,Traffic,Dilsukhnagar,2026-05-22,17.3688,78.5247
433,Traffic signal malfunctioning,Traffic,Hitech City,2025-10-12,17.4435,78.3772
434,Traffic management required at junction,Traffic,Ameerpet,2026-02-25,17.4375,78.4482
435,Heavy traffic congestion during peak hours,Traffic,LB Nagar,2026-02-08,17.3457,78.552
436,Heavy traffic congestion during peak hours,Traffic,Manikonda,2025-11-26,17.4062,78.39
437,Traffic management required at junction,Traffic,Kondapur,2025-09-07,17.466,78.363
438,Heavy traffic congestion during peak hours,Traffic,Miyapur,2025-06-07,17.4969,78.3562
439,Heavy traffic congestion during peak hours,Traffic,Ameerpet,2025-09-01,17.4375,78.4482
440,Heavy traffic congestion during peak hours,Traffic,Secunderabad,2025-11-25,17.4399,78.4983
441,Traffic signal malfunctioning,Traffic,Jubilee Hills,2025-11-10,17.4316,78.4071
442,Traffic management required at junction,Traffic,Gachibowli,2026-03-20,17.4401,78.3489
443,Roadside encroachment causing congestion,Traffic,Gachibowli,2025-08-29,17.4401,78.3489
444,Roadside encroachment causing congestion,Traffic,LB Nagar,2025-08-21,17.3457,78.552
445,Illegal parking blocking road,Traffic,Dilsukhnagar,2026-03-25,17.3688,78.5247
446,Roadside encroachment causing congestion,Traffic,Uppal,2026-03-06,17.4058,78.5591
447,Traffic signal malfunctioning,Traffic,Panjagutta,2025-10-22,17.4283,78.4524
448,Traffic signal malfunctioning,Traffic,Manikonda,2025-11-14,17.4062,78.39
449,Roadside encroachment causing congestion,Traffic,Gachibowli,2026-05-05,17.4401,78.3489
450,Illegal parking blocking road,Traffic,Kompally,2026-04-17,17.5251,78.4832
451,Traffic management required at junction,Traffic,Manikonda,2026-01-06,17.4062,78.39
452,Illegal parking blocking road,Traffic,Jubilee Hills,2025-11-11,17.4316,78.4071
453,Illegal parking blocking road,Traffic,Secunderabad,2025-06-30,17.4399,78.4983
454,Traffic signal malfunctioning,Traffic,Uppal,2026-03-04,17.4058,78.5591
455,Heavy traffic congestion during peak hours,Traffic,Dilsukhnagar,2025-08-01,17.3688,78.5247
456,Roadside encroachment causing congestion,Traffic,Miyapur,2025-09-11,17.4969,78.3562
457,Roadside encroachment causing congestion,Traffic,Banjara Hills,2025-11-16,17.4126,78.4482
458,Traffic management required at junction,Traffic,Ameerpet,2026-01-18,17.4375,78.4482
459,Traffic management required at junction,Traffic,Gachibowli,2026-02-11,17.4401,78.3489
460,Roadside encroachment causing congestion,Traffic,Ameerpet,2025-10-22,17.4375,78.4482
461,Heavy traffic congestion during peak hours,Traffic,Dilsukhnagar,2025-12-05,17.3688,78.5247
462,Heavy traffic congestion during peak hours,Traffic,Kukatpally,2025-11-17,17.4948,78.3996
463,Traffic signal malfunctioning,Traffic,Madhapur,2025-07-12,17.4483,78.3915
464,Traffic management required at junction,Traffic,Uppal,2025-07-16,17.4058,78.5591
465,Heavy traffic congestion during peak hours,Traffic,Manikonda,2026-03-19,17.4062,78.39
466,Illegal parking blocking road,Traffic,Jubilee Hills,2025-09-14,17.4316,78.4071
467,Heavy traffic congestion during peak hours,Traffic,Gachibowli,2026-01-02,17.4401,78.3489
468,Roadside encroachment causing congestion,Traffic,Ameerpet,2025-11-06,17.4375,78.4482
469,Heavy traffic congestion during peak hours,Traffic,Uppal,2026-04-20,17.4058,78.5591
470,Heavy traffic congestion during peak hours,Traffic,Manikonda,2025-06-10,17.4062,78.39
471,Roadside encroachment causing congestion,Traffic,Jubilee Hills,2026-04-15,17.4316,78.4071
472,Traffic management required at junction,Traffic,Dilsukhnagar,2025-10-01,17.3688,78.5247
473,Roadside encroachment causing congestion,Traffic,Dilsukhnagar,2026-05-03,17.3688,78.5247
474,Illegal parking blocking road,Traffic,Uppal,2026-03-23,17.4058,78.5591
475,Illegal parking blocking road,Traffic,Panjagutta,2026-03-01,17.4283,78.4524
476,Roadside encroachment causing congestion,Traffic,Dilsukhnagar,2025-12-04,17.3688,78.5247
477,Roadside encroachment causing congestion,Traffic,Ameerpet,2025-10-30,17.4375,78.4482
478,Roadside encroachment causing congestion,Traffic,Manikonda,2025-08-22,17.4062,78.39
479,Illegal parking blocking road,Traffic,Ameerpet,2025-06-15,17.4375,78.4482
480,Traffic management required at junction,Traffic,Kukatpally,2025-11-05,17.4948,78.3996
481,Illegal parking blocking road,Traffic,Kompally,2025-08-20,17.5251,78.4832
482,Traffic management required at junction,Traffic,Gachibowli,2025-12-21,17.4401,78.3489
483,Traffic signal malfunctioning,Traffic,Kukatpally,2025-07-22,17.4948,78.3996
484,Roadside encroachment causing congestion,Traffic,Dilsukhnagar,2025-08-11,17.3688,78.5247
485,Traffic management required at junction,Traffic,Madhapur,2026-02-09,17.4483,78.3915
486,Heavy traffic congestion during peak hours,Traffic,Hitech City,2025-07-10,17.4435,78.3772
487,Illegal parking blocking road,Traffic,Panjagutta,2026-04-06,17.4283,78.4524
488,Heavy traffic congestion during peak hours,Traffic,Miyapur,2025-06-21,17.4969,78.3562
489,Traffic management required at junction,Traffic,Banjara Hills,2025-09-15,17.4126,78.4482
490,Traffic signal malfunctioning,Traffic,LB Nagar,2026-01-04,17.3457,78.552
491,Traffic management required at junction,Traffic,Madhapur,2025-08-24,17.4483,78.3915
492,Traffic management required at junction,Traffic,Uppal,2025-12-05,17.4058,78.5591
493,Illegal parking blocking road,Traffic,Manikonda,2025-10-14,17.4062,78.39
494,Traffic management required at junction,Traffic,Uppal,2025-09-21,17.4058,78.5591
495,Heavy traffic congestion during peak hours,Traffic,Secunderabad,2026-01-08,17.4399,78.4983
496,Illegal parking blocking road,Traffic,Uppal,2025-07-06,17.4058,78.5591
497,Heavy traffic congestion during peak hours,Traffic,Gachibowli,2025-11-25,17.4401,78.3489
498,Traffic management required at junction,Traffic,Jubilee Hills,2025-06-13,17.4316,78.4071
499,Heavy traffic congestion during peak hours,Traffic,LB Nagar,2025-06-25,17.3457,78.552
500,Traffic signal malfunctioning,Traffic,Manikonda,2025-08-28,17.4062,78.39
